word,meaning
subservient,"'servil.', ""Don't be so subservient – stand up to him once in a while."", 'subordinado, al servicio de.', ""She's subservient to her husband in all matters."""
squall,"'sudden wind, borrasca.', 'rainstorm, borrasca, aguacero.'"
spotty,"'patterned with spots, a lunares.', 'The little girl wore purple spotty pants and a green top.', 'uneven, inconsistent, irregular, desigual.', 'Cell phone service is spotty in this area because of the mountains.'"
whiplash,"'latigazo cervical.', 'Ed suffered whiplash as the result of a nasty fall.', 'stroke of a whip, latigazo.', 'The slave received several whiplashes as punishment.'"
sleepyhead,"'dormilón', ""You're such a sleepyhead; did you stay up too late again?"""
simpleton,"'simple, simplón, bobalicón.'"
dog tag,"'placa de identificación.', 'Soldiers on secret operations have to remove their dog tags.'"
shoddy,"'chapucero, mal hecho, de mala calidad.', ""Take your time and don't do a shoddy job."""
pennant,"'banderín, gallardete.', 'The soccer team waved a pennant after their victory.'"
panache,"'salero, style, flair.'"
kingpin,"'bowling: centre pin, bolo central.', 'The bowler knocked down everything but the kingpin.', 'alma, eje central', 'Carbon is the kingpin of life on earth.'"
hocus,"'trickery, to cheat or trick someone in a dishonest way.'"
hilt,"'sword or knife handle, empuñadura, mango.', 'The hilt of the sword had a beautiful, intricate design.'"
hick,"'us, simple country person, pueblerino, paleto.', 'When John first started college, his classmates dismissed him, thinking he was an ignorant hick.'"
godforsaken,"'dejado de la mano de Dios.', 'How could anyone live in this godforsaken place?'"
grandstand,"'tribuna, gradas, gradería.', 'The crowds in the grandstand cheered as the horses crossed the finish line.'"
gnat,"'insect: small fly, mosquito.', 'Gnats hovered above the watermelon on the table.'"
girdle,"'faja, supportive undergarment.', 'Embarrassed by her weight gain, Molly decided to wear a girdle under her dress.'"
flit,"'move quickly, revolotear, ir de un lado a otro deprisa.', 'Butterflies flitted among the cabbage.'"
flak,"'antiaircraft fire.', 'Flak flew in all directions around the aircraft.', 'críticas.', 'Jody got a lot of flak for her decision to quit her job.'"
dill,'eneldo.'
deride,"'ridicule, mock, rdiculizar, burlarse, mofarse.', ""Louie's co-workers mercilessly derided him."""
crumpet,"'bollo.', 'The ladies ate traditional English crumpets with jam and clotted cream.'"
coleslaw,"'shredded cabbage salad.', 'Coleslaw is a staple side dish of fried chicken.'"
cache,"'secure box for money.', 'store of weapons, depósito.', 'hidden store of, escondite, alijo.', 'computer memory.'"
allay,"'emotion: calm, ease. Aliviar, calmar, apaciguar.', 'What can we tell them to allay their fears about the operation?'"
affront,"'afrenta, ofensa, agravio.', 'He took the layoff as a personal affront.'"
accost,"'approach boldly, abordar a.', 'A man accosted Emily in the street to ask the time.'"
wicker,"'mimbre.', 'Wicker can be used to make baskets or furniture.'"
turnpike,"'us, toll road, highway, autopista de peaje.', ''"
upfront,"'por adelantado', 'honest and direct about their intentions.'"
thoroughbred,"'purebred horse, caballo de pura sangre.', 'Edward wants to buy a farm and breed thoroughbred horses.'"
reprisal,"'counter-attack, represalia, retaliation, revenge.', 'Several members of the gang were killed in reprisal.'"
remand,"'custody, detención, prisión preventiva.', 'remand prison'"
preclude,"'exclude, descartar.', 'The lack of evidence precludes any chance of a conviction.'"
plod,"'trudge, step slowly, heavily, caminar despacio, arrastrarse.', ""This project is difficult, but I'm plodding through it."""
pall,"'coffin at a burial, féretro, ataúd.', 'cloth covering a casket, paño mortuorio.', 'A white pall was draped over the casket.'"
mainline,"'railway route, principal.', 'inject drug into a vein, inyectarse, chutarse.'"
lax,"'laxo, permisivo, not strict, flojo, slack, loose, careless, descuidado.'"
inordinate,"'exorbitante, excesivo.', ""You spent an inordinate amount of money on that outfit; you're going to have to return it."""
imbibe,"'embeber, absorber, beber (especially alcohol).'"
hokey,"'corny, sentimental.', ""The actor's performance was good, although the plot was a little hokey."""
hew,"'shape, carve.', 'tallar, labrar.', 'The carpenter hewed the piece of wood skillfully.'"
gusto,"'enthusiasm, ganas, afán.', 'It sounds like a good idea, but Henry lacks gusto.'"
freebie,"'sth given without charge, cortesía, regalo.', 'The grocery store was giving away peanuts as freebies.'"
figment,"'sth imagined, producto de la imaginación.', 'Did I really see that happen or was it a figment of my troubled mind?'"
cleft,"'rock: fissure, grieta, hendidura.', 'The earthquake created a deep cleft in the rock.'"
chiffon,"'sheer, silky fabric, gasa.', ""The bride's chiffon wedding gown billowed gently in the breeze."""
sheer,"'puro, auténtico.', 'fabric: fine, thin, transparente, fino.', 'The sheer curtain did not provide any privacy.'"
bedlam,"'frenopático, manicomio.', 'The criminal was declared insane and sent to Bedlam.', 'fig, algarabía, follón, alboroto.'"
beaker,"'taza alta sin asa.', 'Give the children the plastic beakers, not the glass ones.'"
thrice,'three times (dated)'
thrall,"'servitude, servidumbre, esclavitud.', 'Peasants were in thrall to the local lord in feudal times.', 'He was in thrall to his drug addiction.', 'enthrall: captivate, fascinate, cautivar, embelesar.'"
taut,"'tight, not loose or slack, tenso, tirante.', 'Pull the cord taut and tie it down.'"
stopper,"'cork, bung for a bottle. Tapón.'"
splice,"'join, empalmar, unir.', 'The film broke in the projector and had to be spliced.'"
spanner,"'wrench, llave inglesa, ajustable.', 'Pass me that spanner out of my toolbox, would you.'"
reel,"'device for winding, carrete.', 'Alice winds the hosepipe onto the reel.', 'sway when punched, tambalearse, bambolearse.', ""Tim reeled backwards, stunned by the force of Larry's punch."", 'fig, be shocked by news.', 'The case left a tight-knit community reeling.'"
grip,"'gradp, hold, agarrar, sujetar.', 'fig, fascinate, enganchar.', 'Family lunch mystery grips Australia.'"
skint,"'pelado, sin blanca.', ""Can I borrow some money? I'm skint."""
rundown,"'summary.', 'George asked his assistant for a rundown before the meeting.', 'decrepit, en decadencia.'"
pungent,"'smell: acrid. acre, picante, áspero.', ""Iwouldn't eat anything that smelled that pungent."", 'taste: sharp.', ""Idon't like cheese that has a pungent flavor."""
plunger,"'handheld suction device, desatascador.', 'Randy used a plunger to unclog the drain.', 'plunge: zambullirse.'"
gutted,"'fish: entrails removed.', 'fig, building: burned out. Destruido, reducido a cenizas.', 'uk, fig: very disappointed, destrozado, abatido, decepcionado.', 'He was gutted by his results in the exam.'"
penchant,"'strong liking, inclinación.', 'My brother lost his penchant for fast cars after he was in an accident.'"
peachy,"'tasting of peach, melocotón.', 'fine, great, magnífico, estupendo.', 'Catherine felt peachy as she finished her last chore.'"
bum,"'us, vagabundo.', 'idle person, vago, zángano.', ""Gina's brother is a bum; he's thirty-five but has no job and lives with his mother."", 'uk, buttocks, trasero, nalgas.', 'gorronear.', 'Brad is always bumming cigarettes off his friends.'"
tick,"'garrapata,blood-sucking arachnid.', 'Ticks carry nasty diseases, so you have to be careful how you remove them.'"
beck,"'uk, regional: stream, arroyo, riachuelo.', ""at sb's beck and call: a la entera disposición."", 'Iwill be at your beck and call.', '', 'beckon: hacer señas a alguien para que se acerque.'"
zest,"'citrus peel, piel cáscara de limón.', 'Add some lemon zest to give the cake a tangy (sharp tasting) flavor.', 'fig, sense of liveliness and enthusiasm.', 'Steve has a real zest for life.'"
jack,"'device used to lift a vehicle, gato.', 'Dan got a flat tire, so he used a jack to lift up his car so he could put the spare tire on.'"
reckon,"'estimate, calcular.', ""Linda reckoned the stranger's age to be about fifty."", 'fig, pensar, creer.', ""It's lunchtime, so Glenn will be in the pub, I reckon."""
lenient,"'tolerant, indulgente, poco severo.', 'The police officer was lenient, and let John go with a warning.'"
leaden,"'made of lead, de plomo, plúmbeo.', 'fig: pesado.', 'After a long day of work, her steps were leaden.', 'fig: sky: grey, plomizo.', 'Leaden skies hung over the festival all day.', 'fig: boring, dull.'"
bust,"'busto', 'ruina, quiebra', ""I'm backing Boris #BorisorBust"", 'Ukraine invasion causes wartime baby bust.'"
shingle,"'stony beach, playa de guijarros.', 'small stones, gravel, guijarros.', 'We heard the crunch of car tyres on the shingle outside.', 'shingle: roof brick, teja.', 'The storm blew several shingles off the roof.'"
lapel,"'solapa.', 'lapel badge: pin or button worn on clothing.'"
ladle,"'serving spoon, cucharón, cacillo.', 'Tina stirred the stew with the ladle.', 'Seth ladled soup into his bowl.'"
impromptu,"'spontaneous, unplanned.', 'My husband threw me an impromptu birthday party, but all my friends already had plans.', 'without preparation, improvisadamente.', 'They performed their skit impromptu.'"
haggard,"'looking worn out, ojeroso, macilento.', ""Emma's haggard appearance shocked her old friends."""
gait,"'andares, way of walking.', 'Ben wore a brace (aparato) on his leg to correct his gait.'"
fidget,"'make restless movements, estar inquieto, moverse nerviosamente.', 'fiddler: violinista.'"
ferret,'hurón.'
daredevil,"'reckless person, temerario, atrevido.', ""Ihave no desire to go bungee jumping; I'm not a daredevil."""
currant,"'dried grape, uva pasa de Corinto.', 'I like scones with currants in them.', 'raisin: uva pasa.'"
connive,"'conspire, plot to do sth, confabularse para.', 'The executives connived to overthrow the CEO of the company.'"
bung,"'cork, stopper, corcho.', 'A stopper for closing a hole in a container.', 'The chemist put a bung in the test tube to seal it.'"
bountiful,"'abundant, plentiful.', 'Crop farmers enjoyed a bountiful harvest this year.', 'generoso, pródigo.', 'Mother nature has been bountiful this year; our harvest is the largest in living memory.'"
barista,"'server in a coffee shop.', 'bartender: makes and serves alcoholic drinks in a bar or pub.', 'waiter: camarero.'"
astride,"'with a leg on either side of, a horcajadas.', 'Horsewomen used to ride side-saddle because their long skirts made it difficult to sit astride.', 'across, a lo largo de.', 'This vast mountain range sits astride the border of two states.'"
undercut,"'cut away underneath, socavar.', 'Waves had undercut the foot of the cliff, creating a cave.', 'undermine, weaken.', ""Smith's argument is undercut by the lack of supporting evidence."", 'vender más barato que la competencia.', 'Large supermarkets can undercut small family-run shops.', 'hairstyle, hair on the sides shorter than on top.', 'tennis: to hit a ball with an underspin (efecto cortado).'"
bower,"'arbour, emparrado, cenador, glorieta, pérgola.'"
tut,"'chasquear la lengua, make disapproving noise.', 'The old lady tutted as the boy pushed past her.'"
thimble,"'dedal, sewing: fingertip protector.', ""I can't find the thimble that was in my sewing box."""
teaser,"'bromista.', 'señuelo, advertisement.', 'The ad was just a teaser to get people into the store.'"
swig,"'large mouthful, gulp.', ""The swig of root beer quenched Eddie's thirst."""
sultry,"'hot and humid, uncomfortable, sofocante, bochornoso, abrasador.', ""Being used to cooler climates, the Englishman was struggling in the island's sultry atmosphere."""
sodding,"'damned, condenado, maldito.', ""I can't get this sodding radio to work!"""
singe,"'burn the ends or edges of, chamuscar.', ""The candle flame singed the cat's whiskers."", ""The singe to Elizabeth's hair occurred when she leaned over a candle."""
rabble,"'crowd, mob, turba, muchedumbre, tumulto.', 'The rabble grew larger as the protests continued.', '""the rabble"": la chusma, plebe, populacho.', '""rabble-rouser"": sb who stirs up hatred, demagogo, agitador.'"
sandpaper,"'abrasive paper, papel de lija.', 'Use sandpaper on the wood to make it smooth.'"
pubes,"'vello púbico.', 'The janitor was annoyed when he found a pube on the toilet seat.'"
plucky,"'informal, courageous, brave, valiente.', 'The drowning swimmer was rescued by a plucky schoolboy.'"
outreach,"'extent of reach, alcance.', 'We are trying to outreach to all the poor people in our country.'"
nowt,"'uk, dialect: nothing.', 'He knows nowt about the situation.'"
inbred,"'innate.', ""Jenny's sunny disposition must be inbred because she's had a difficult life."", 'endogámico, from sex between relatives.', 'Inbred children often have physical or mental abnormalities.'"
grille,"'verja, rejilla.', 'A fence made of intricate cast-iron grille surrounded the garden.'"
wash up,"'be brought to shore by the tide.', 'The driftwood was washed up on the beach.', 'clean dishes, do the dishes.'"
encumber,"'estorbar, burden, weigh down, impede.', 'The police operation was encumbered by crowds of reporters.'"
crimp,"'hair: make wavy, rizar, make curls.', 'Do women still crimp their hair or is that old-fashioned?', 'metal: corrugate.'"
crochet,'ganchillo.'
stroppy,"'bad-tempered or sulky.', 'Ralph is stroppy today; I wonder if something bad happened.'"
corduroy,"'pana, type of cotton fabric.', 'The little boy wore corduroy overalls and a striped shirt.'"
conscript,"'sb called to military service, recluta.', 'Many young men were conscripted for the war.'"
chaplain,'capellán.'
biddy,"'old woman, especially an annoying one.'"
whoosh,"'move rapidly, pasar zumbando.', 'The arrow whooshed through the air and hit the bullseye (diana).', 'rushing sound, silbido, zumbido.', 'The car went by with a whoosh.'"
venison,"'deer meat, carne de venado (ciervo).'"
understudy,"'theater: stand-in actor, suplente, susituto.', 'The understudy had to take over the role when the actor fell ill.'"
stand in,"'replace sb temporarily.', 'Linda is standing in while the usual secretary is ill.', 'Your teacher had an emergency so I will stand in for her for this class.'"
stave,"'a strong stick or pole.', 'pentagrama, estrofa.'"
spearhead,"'tip of a spear, punta de lanza.', 'encabezar, iniciar.', 'Logan was chosen to spearhead the new project in the marketing department.'"
shirk,"'evade: work, duty.', 'Manny is shirking his work duties again.', 'Stop shirking and take responsibility for your work.'"
scuffle,"'riña, altercado (poca importancia).'"
rampart,"'wall fortification, muralla.'"
skinflint,"'miserly person, stingy, tacaño, roñoso.'"
wager,"'bet, apuesta.', 'Ellen won her wager that the boss would be late arriving at work the day after the office party.'"
pester,"'annoy, bother.', ""Don't pester your brother while he's studying."""
perky,"'lively, animado, alegre, de buen humor.', 'Emma is always perky, even in the mornings.'"
palatable,"'food pleasant, tasting. sabroso, rico, apetitoso.'"
mutton,'carne de carnero (adult sheep).'
listless,"'lethargic, apathetic, indiferente, lánguido.', 'The tired and listless child had difficulty getting out of bed in the morning.'"
impervious,"'impermeable, insensible, inmune.', ""The paint is impervious to moisture when it's dry."", ""You can say what you like: she's impervious to criticism."""
icky,"'distasteful, revolting, asqueroso, repelente, desagradable.'"
hoover,"'vacuum cleaner, aspiradora.'"
froth,"'foam on liquid, espuma.', 'Boil the beans and remove the froth with a spoon.', 'The beer frothed as the barman poured it into the glass.', 'fig, light, trivial, banalidad.', 'His new comedy is just froth, but enjoyable enough.'"
foreclosure,"'ejecución, embargo (hipoteca, préstamo).', 'Foreclosures are expected to peak this year, then begin to fall.'"
foothold,'punto de apoyo.'
fluster,"'agitate, confuse, aturdir, aturullar.', 'The constant noise and bright lights flustered Jamie.'"
fizzle,"'fizz, hiss, sisear, chisporrotear.', 'fizzle out: apagarse, decaer.'"
envisage,"'imagine happening.', 'The rebels envisage an era of peace and prosperity after the revolution.'"
be laced with,"'drink: have alcohol or poison added.', 'The lemonade had been laced with vodka.'"
tadpole,"'renacuajo, frog or toad larva.', 'They have discovered tadpoles in their drinking water.', 'The children tried to catch tadpoles with nets.'"
disparate,"'dissimilar, dispar.', 'Disparate approaches to the problem have not been successful.', 'A disparate group of individuals.'"
dirge,"'funeral music.', 'One of his fellow soldiers played a dirge at his funeral.', 'fig, music too slow and sad.'"
cockle,"'berberecho.', 'Clam: almeja. Barnacle: percebe. Mussel: mejillón.'"
carnation,"'clavel, flower often worn in buttonhole.'"
accrue,"'interest: grow, acumularse.', 'Interest on this account accrues at 4% a year.', 'reunir, juntar.', 'My grandmother accrued a fine collection of art in her lifetime.'"
pamper,"'treat excessively well, mimar a, consentir a.', 'Eugene is always bringing his wife breakfast in bed, buying her presents, and taking her out; he really pampers her.'"
wittingly,"'knowingly, consciously.', 'The government wittingly allowed those events to occur.', 'witty: smart, funny, clever.'"
whet,"'blade: sharpen, afilar.', 'Whet the blade on the stone.', ""whet sb's appetite: abrir el apetito."", 'The city tour whetted our appetite for bigger adventures.'"
wallflower,"'alhelí.', 'persona que no baila en una fiesta.'"
thorny,"'espinoso, controvertido, peliagudo.', ""Don't bring up thorny issues such as abortion and religion at dinner."""
taper,"'gradually narrow, estrecharse, reducirse.', 'The road tapers on the mountain; only small cars can go through.'"
taffy,"'chewy candy.', 'fig, elogio, halago.', 'galés.'"
supple,"'body: flexible.', ""Rachel does a lot of yoga; she's very supple."", 'Rubber is a supple material.'"
stringer,"'us, informal: news journalist.', 'larguero.'"
stencil,"'template, plantilla, troquel.', 'The children used stencils to create a star motif on the wall.'"
cringe,"'sentir escalofríos, sentir horror. encogerse de miedo.', ""Icringe whenever she says she's going to sing."", 'sentir vergüenza.'"
shambles,"'done incompetently, desastre.', 'The event was a complete shambles.', 'caos, lío.', 'The flat was a shambles after the party.'"
scribe,"'escriba, copista, amanuense.'"
retch,"'tener arcadas, try to vomit, try to throw up.', 'heave: vomitar, devolver.', ""Peter's stomach heaved when he got off the roller coaster."""
rationale,"'reason, razón, lógica, base.', 'Once Craig had explained the rationale behind his decision, it made perfect sense.'"
pucker,"'lips: purse, arrugar.', ""David's lips puckered when he bit into the sour candy."""
privy,"'informed, al tanto, enterado.', ""Ican't tell you; I'm not privy to that information."""
meld,"'blend, merge, mezclar, combinar.', 'The winemakers melded Merlot and Cabernet Sauvignon in their new blend.'"
throwaway,"'de pasada, casual.', 'A throwaway comment.'"
blip,"'brief interruption, incidencia breve, pasajera, irregularidad.', 'She had a blip over Christmas but she was back on her medication and back to the normal.'"
lather,"'espuma, enjabonar.', 'white mass of small bubbles produced by mixing soap with water.', 'The hairdresser worked the shampoo into a good lather.', 'Lather your face before shaving.'"
lam,"'pegar, dar una paliza.', 'The thugs cornered the victim and lammed him until he was unconscious.'"
hindrance,"'obstáculo, impedimento.'"
heifer,"'vaquilla, young female cow that has not yet had a calf.'"
footloose,"'free, carefree, despreocupado.', 'Eric has always had a footloose attitude and never takes life seriously.'"
flagship,'buque insignia'
disparage,"'speak badly of, menospreciar.', ""You shouldn't disparage your boss; you never know who is listening."""
bogeyman,"'monster used to threaten children, coco, el hombre del saco.'"
allot,"'assign, allocate, adjudicar.', ""Let's allot 30 hours for this project."""
whirlpool,"'swirling water current, remolino.', 'whirlpool bath: jacuzzi.'"
tweedle,"'fiddle with, juguetear con.', 'James twiddled the knob on the radio to see if he could get better reception.'"
slink,"'move furtively, escabullirse.', 'We watched the cat slink through the shrubs (arbustos).'"
scuff,"'scrape, marcar, rayar, arañar. rasguño.'"
satcher,"'shoulder bag, bolso, cartera al hombro.'"
rubbery,"'elástico.', 'food: gomoso, correoso, chicloso.', 'This rubbery beef is inedible.'"
paddy,"'rice field, arrozal, campo de arroz.'"
navel,"'belly button, ombligo.'"
infatuated,"'locamente enamorado, prendado.', ""You can tell by the look in his eyes that he's totally infatuated."", ""The woman's seductive perfume was enough to infatuate the young man."""
handiwork,"'obra, manualidad, trabajo.', 'The basket is a beautiful example of local handiwork.', ""The mess on the floor is the dog's handiwork!"", 'Craftmanship.'"
gab,"'talk a lot, parlotear, cotorrear, cháchara.'"
do-over,"'second chance.', 'When it comes to parachuting, there are no do-overs.'"
muck about,"'behave in a frivolous way, hacer el payaso, hacer el tonto.', 'Stop mucking about and get to work.', ""I've spent an hour mucking about with passwords and haven't even managed to log into the website yet!"""
foreboding,"'presentimiento, premonizión, corazonada.'"
fondle,"'touch tenderly, acariciar.', ""Dan fondled his boyfriend's hair lovingly."""
dreadlocks,"'Rastafarian hairstyle, rastas.'"
clove,"'diente de ajo.', ""The chef's specialty is chicken cooked with forty cloves of garlic."", 'spice: clavo.', 'Miriam adds a dash of cloves to her pumpkin pie.'"
busk,"'uk, play music in public for money, actuar en la calle.', 'We were short on funds while traveling so we went downtown and busked for several days so we could buy tickets home.', 'bask: enjoy, take pleasure in.'"
bandana,"'kerchief, pañuelo, scatf worn on head or neck.', ""The woman's kerchief covered her blonde hair."", 'The little boys wore cowboy hats and red bandanas around their necks.', 'handkerchief: fabric square for blowing nose.', 'Josh kept a handkerchief in his pocket at all times.'"
brace yourself,"'prepárate, agárrate', 'Trump is back. Brace yourselves.', '', 'brace', 'rodillera, codera', 'aparato ortodoncia', 'signo llave: {\xa0 }', 'tirantes', 'reforzar, apuntalar', 'The wooden beams braced the unsteady walls of the building.', '', 'corchete: \xa0 \xa0 bracket', '(\xa0 ) parenthesis'"
ajar,"'door: slightly open, enrteabierto, entornado.', 'It gets draughty (corrientes de aire) in here when you leave the door ajar.'"
yam,"'boniato, sweet potato.'"
wistful,"'feeling reflective, nostálgico.', 'Henry was in a wistful mood as he reflected on his childhood and how things had changed since then.'"
underbelly,"'punto débil, punto flaco, hidden, vulnerable and weaker part.', 'The documentary exposes the sordid underbelly of life in the city.'"
swill,"'wash, rinse, enjuagar.', 'Just let me swill this cup and I will be ready to go.', 'bazofia.', 'gulp, drink greedily, beber a tragos.'"
surly,"'bad tempered, hosco, malhumorado, gruñón.', 'The boy gave his teacher a surly look and said, ""I don\'t feel like doing homework anymore"".'"
shanty,"'schack, cabaña, choza, chabola.', 'shantytown: slums, makeshift housing.'"
rebuke,'regañar'
ruckus,"'commotion, alboroto, lío.', 'A mugging on the street caused a ruckus'"
roadkill,"'animal killed by traffic.', ""Yuck, there's some roadkill over there. I can't believe how much roadkill we've seen on this journey."""
radish,'rábano.'
pate,"'liver paste, paté.', 'dated, humorous: coronilla.', ""I wonder if he uses polish on his pate – it's so shiny!"""
nutmeg,'nuez moscada.'
musty,"'smelling of mould, que huele a humedad, mohoso.', 'The cellar was dark and musty and filled with old jars.'"
go the extra mile,"'make an exceptional effort.', 'He was a much-loved colleague who always went the extra mile.'"
mart,"'market, mercado.'"
headway,"'avance, progreso.', 'We made a lot of headway with our project this week.'"
grubby,"'dirty, sucio, mugriento, asqueroso.', 'The little boy grabbed the ice cream cone with his grubby hands.'"
enrapture,"'enchant, fascinate, embelesar, cautivar.'"
cranny,"'crevice, grieta, ranura, rendija.', 'She always explored every nook and cranny of a business deal. (every part of a place, every aspect of a situation).'"
consign,"'goods send, ship, enviar, consignar.', 'To put sth/sb somewhere in order to get rid of them.'"
clinch,"'secue, asegurar.', 'They clinched a place in the semi-finals.', 'embrace passionately, dar un achuchón.'"
cleavage,"'space between breasts, escote, canalillo.', 'fig, division, political, etc. escisión.', 'The cleavage between the two political parties seems to be irreparable.'"
chafe,"'raspar, rozar, irritar.', 'My wool sweater is pretty, but it chafes.'"
brawn,"'meat that comes from the muscles of beef or pork.', 'fuerza, músculo.', 'brawny: musculoso, fornido, fuerte.'"
berth,"'bunk on a ship.', ""ship's docking place, amarradero."""
batty,"'crazy, loco, como un cencerro, como una cabra.'"
ballast,"'lastre. balasto, balastro.'"
backhand,"'revés.', 'My tennis coach said I need to improve my backhand.'"
apparel,"'clothing, when it is being sold in shops/stores.', 'vestimenta, indumentaria.'"
