date,dm3/s,rainfall
2023-02-17,35,0.2
2023-02-18,33,0.0
2023-02-19,30,0.0
2023-02-20,30,0.0
2023-02-21,31,0.0
2023-02-22,28,3.8
2023-02-23,90,30.0
2023-02-24,78,8.8
2023-02-25,74,2.4
2023-02-26,78,1.5
2023-02-27,67,0.1
2023-02-28,59,5.4
